price_per_sqm,down_payment_pct,subcity,district,sqm,lon,lat,amenities_within_0.5km,amenities_within_1.0km,amenities_within_2.0km,amenities_within_3.0km,amenities_within_4.0km,amenities_within_5.0km,roads_within_0.5km,roads_within_1.0km,roads_within_2.0km,roads_within_3.0km,roads_within_4.0km,roads_within_5.0km,dist_to_meskel_km,dist_to_bole_km,neighborhood_cluster,amenity_diversity_2km
6005.0,40.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
25505.0,100.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
22600.0,100.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
22500.0,70.0,Akaki Kality,1.0,247.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
87000.0,40.0,Akaki Kality,1.0,248.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
38450.0,100.0,Akaki Kality,1.0,248.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
25505.0,100.0,Akaki Kality,1.0,248.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
70000.0,42.0,Akaki Kality,1.0,250.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
40125.0,100.0,Akaki Kality,1.0,250.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
40100.0,100.0,Akaki Kality,1.0,250.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
55820.28,60.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
30200.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
28111.0,100.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
52200.0,78.16,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
62100.0,40.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
55930.2,50.0,Akaki Kality,1.0,500.0,38.79769047574577,8.871845782757074,0,8,37,73,108,121,181.0,567.0,1559.0,2513.0,3366.0,4271.0,17.12043187299996,12.094209608271989,4,21
311000.0,100.0,Arada,1.0,977.0,38.75123305118187,9.027612709698548,50,158,556,885,1408,1784,136.0,574.0,2187.0,4751.0,8381.0,12177.0,0.9457411877053272,7.429314787912768,2,45
350000.0,50.0,Arada,1.0,977.0,38.75123305118187,9.027612709698548,50,158,556,885,1408,1784,136.0,574.0,2187.0,4751.0,8381.0,12177.0,0.9457411877053272,7.429314787912768,2,45
